Marca,Nome do Produto,EAN,Preço com Desconto,Preço sem Desconto,Valor do Desconto
GEOLAB,Lubrificante Ocular Acu Fresh - 15ml,7899095263222,25.99,55.92,29.930000000000003
GEOLAB,Albel 200mg com 10ml - Geolab,7899095201972,9.9,9.9,0.0
GEOLAB,Cisteil 200mg com 16 Envelopes - Geolab,7899095239340,28.59,38.54,9.95
AIRELA,Flexenema Solução de Uso Retal - 130ml,7894164005239,18.67,22.49,3.8199999999999967
AIRELA,Hidrali 45 Uva Roxa com 500ml - Airela,7894164005406,15.48,15.6,0.11999999999999922
AIRELA,Leite de Magnésia Magmilk Hortelã com 100ml - Airela,7894164005734,8.68,8.99,0.3100000000000005
AIRELA,Sulfermax 125mg - 30ml,7894164005802,7.24,7.24,0.0
BELFAR,"Hidroten Pó 27,90g - Belfar",7897917002684,2.99,2.99,0.0
AIRELA,Hidrali 45 Sabor Água de Coco com 500ml - Airela,7894164005390,16.9,16.9,0.0
AIRELA,Hidrali 45 Guaraná com 500ml - Airela,7894164005413,20.04,20.04,0.0
TEUTO SIMILAR,Profergan 25mg com 20 Comprimidos - Teuto,7896112148685,11.9,11.92,0.019999999999999574
MULTILAB,Keltrina Plus 5% com 60ml - Multilab,7896472502745,14.52,41.12,26.599999999999998
GEOLAB,Albel 400mg com 1 comprimido - Geolab,7899095201330,9.9,9.9,0.0
TEUTO SIMILAR,Afopic 5mg com 20 Comprimidos - Teuto Similar,7896112198246,12.49,12.8,0.3100000000000005
GLOBO,Castanha da Índia Globo - 30 comprimidos,7899620913127,19.99,31.98,11.990000000000002
NEO QUIMICA SIMILAR,Neo Fresh Solução de Uso Oftálmico - 15ml,7896714224053,30.66,35.37,4.709999999999997
TEUTO SIMILAR,Cetofenid Gotas com 20ml - Teuto,7896112156482,13.9,17.04,3.139999999999999
TEUTO SIMILAR,Dexason Creme com 10g - Teuto,7896112140269,10.9,10.99,0.08999999999999986
GERMED GENERICO,Alprazolam 1mg com 30 Comprimidos - Germed Genérico,7896004718873,8.06,29.65,21.589999999999996
BELFAR,Diclofenaco Sódico 50mg com 20 Comprimidos - Belfar Genérico,7897917004008,5.9,27.04,21.14
EUROFARMA GENERICO,Dipropionato de Betametasona + Sulfato de Gentamicina Creme 30g - Eurofarma Genérico,7891317025793,12.15,30.54,18.39
PHARMASCIENCE,Fosfomicina Trometamol 3g Envelope 8g - Pharmascience Genérico,7896006299820,41.28,56.49,15.21
EUROFARMA GENERICO,Ibandronato de sodio 150mg com 1 Comprimido - Eurofarma Genérico,7891317007607,28.34,87.27,58.92999999999999
GERMED GENERICO,Olanzapina 2.5mg com 30 Comprimidos - Germed Genérico,7896004770246,16.81,81.49,64.67999999999999
NOVA QUIMICA GENERICO,Alprazolam 1mg com 30 Comprimidos - Nova Química Genérico,7895296280143,7.29,26.76,19.470000000000002
ALTHAIA,Rosuvastatina Cálcica 40mg com 30 Comprimidos - Althaia Genérico,7898569760533,78.34,141.89,63.54999999999998
TEUTO GENERICO,Metronidazol 400mg com 24 Comprimidos - Teuto Genérico,7896112102663,17.31,22.85,5.540000000000003
TEUTO GENERICO,Cloridrato de Diltiazem 60mg com 50 Comprimidos - Teuto Genérico,7896112199946,27.16,36.02,8.860000000000003
NOVA QUIMICA GENERICO,Olanzapina 2.5 com 30 Comprimidos - Nova Química Genérico,7895296445474,28.64,217.15,188.51
TEUTO GENERICO,Nistatina Suspensão de Uso Oral 50ml - Teuto Genérico,7896112105619,11.36,28.11,16.75
PHARLAB,Secnidazol 1000mg com 4 Comprimidos - Pharlab Genérico,7898216360741,15.52,37.68,22.16
PHARLAB,Rosuvastatina Cálcica 5mg com 60 Comprimidos - Pharlab Genérico,7898216366095,21.13,116.85,95.72
NEO QUIMICA GENERICO,Meloxicam 15mg com 10 Comprimidos - Neo Química Genérico,7896714228853,6.94,32.76,25.819999999999997
MERCK GENERICO,Cloridrato de Sotalol 160mg com 30 Comprimidos - Merck Genérico,7891721202377,37.56,101.31,63.75
GEOLAB GENERICO,Cloridrato de Paroxetina 10mg com 20 Comprimidos - Geolab Genérico,7899095257399,27.98,41.74,13.760000000000002
GLOBO GENERICO,Sinvastatina 20mg com 30 Compimidos - Globo Genérico,7899620911031,6.2,14.86,8.66
NOVA QUIMICA GENERICO,Fosfato de Codeína 30mg com 30 Comprimidos - Nova Química Genérico,7896472521715,35.9,41.2,5.300000000000004
TEUTO GENERICO,Fenitoina 100mg com 30 Comprimidos - Teuto Genérico,7896112114574,10.51,11.42,0.9100000000000001
GERMED GENERICO,"Desonida 0,5mg Creme 30g - Germed Genérico",7896004711874,34.89,38.52,3.6300000000000026
TORRENT GENERICO,Valsartana + Hidroclorotiazida 160mg + 25mg 30 comprimidos - Torrent Genérico,8902220112278,70.6,70.6,0.0
EMS GENERICO,"Desonida 0,5mg Creme 30g - EMS Genérico",7896004710402,37.76,39.46,1.7000000000000028
ALTHAIA,Ezetimiba 10mg com 60 Comprimidos - Althaia Genérico,7898569762681,40.72,150.64,109.91999999999999
TEUTO GENERICO,Dexametasona 4mg com 10 Comprimidos - Teuto Genérico,7896112194576,12.06,15.18,3.119999999999999
TEUTO GENERICO,Cloridrato de Dorzolamida + Maleato de Timolol Uso Oftálmico 5ml - Teuto Genérico,7896112129653,25.59,88.86,63.269999999999996
BIOSINTETICA GENERICO,Dropropizina Xarope Adulto 120ml - Biosintética Genérico,7896181922377,8.7,17.54,8.84
GLOBO GENERICO,Secnidazol 1000mg com 4 Comprimidos - Globo Genérico,7899620911864,14.93,34.98,20.049999999999997
NOVA QUIMICA GENERICO,Sinvastatina 20mg com 30 Comprimidos - Nova Química Genérico,7895296449274,5.51,34.69,29.18
BIOLAB GENERICO,Ibandronato de Sódio 150mg com 1 Comprimido - Biolab Genérico,7898146826614,23.91,87.59,63.68000000000001
SANDOZ GENERICO,Sinvastatina 20mg com 30 Comprimidos - Sandoz Genérico,7897595609854,6.85,123.59,116.74000000000001
GEOLAB,Oxalato de Escitalopram 20mg 15ml - Geolab Genérico,7899095237254,30.11,111.2,81.09
PHARLAB,Sinvastatina 10mg com 30 Comprimidos - Pharlab Genérico,7898216366286,8.0,19.35,11.350000000000001
NOVA QUIMICA GENERICO,Meloxicam 15mg com 10 Comprimidos - Nova Química Genérico,7895296282109,7.91,39.4,31.49
TEUTO GENERICO,Carbamazepina 200mg com 30 Comprimidos - Teuto Genérico,7896112119210,12.83,23.4,10.569999999999999
LEGRAND GENERICO,Alprazolam 1mg com 30 Comprimidos - Legrand Genérico,7894916149167,7.62,26.53,18.91
GLOBO GENERICO,"Desonida 0,5mg Creme 30g - Globo Genérico",7898060132563,20.48,20.48,0.0
GERMED GENERICO,Sinvastatina 20mg com 30 Comprimidos - Germed Genérico,7896004710792,6.99,17.14,10.15
GERMED GENERICO,Diproprianato de Betametasona + Gentamicina  Creme 30g - Germed Genérico,7896004711720,13.76,30.35,16.590000000000003
SANDOZ GENERICO,Gestodeno + Etinilestradiol 60mcg/15mcg com 24 Comprimidos - Sandoz Genérico,7897595614186,46.5,46.5,0.0
ABBOTT RX,Zeropin 75mg com 28 Cápsulas - Abbott,7891158106262,45.1,60.19,15.089999999999996
TEUTO GENERICO,Pregabalina 75mg 30 cápsulas - Teuto Genérico,7896112172130,15.42,104.65,89.23
GERMED GENERICO,Pregabalina 75mg com 30 Cápsulas - Germed Genérico,7896004776279,19.9,84.72,64.82
EUROFARMA GENERICO,Pregabalina 75mg com 30 Cápsulas - Eurofarma Genérico,7891317139384,27.88,136.59,108.71000000000001
ALCON,Trisorb - 15ml,0300650426404,36.9,36.9,0.0
UNIAO QUIMICA GENOM,Zolpaz 5mg com 30 Comprimidos - União Química,7896006203124,37.98,44.68,6.700000000000003
UNIAO QUIMICA GENOM,Flex OK com 60 Cápsulas - União Química,7896006298861,241.49,241.49,0.0
FINI,Dr. Good Imune Kids com 30 Unidades - Fini,7908228802860,31.99,31.99,0.0
FINI,Dr. Good Melatonina com 60 Unidades - Fini,7908228803843,31.99,31.99,0.0
FINI,Dr. Good Multigood Kids com 30 Unidades - Fini,7908228801429,31.99,31.99,0.0
FINI,Dr.God Vitamina C AD Diet com 30 Unidades - Fini,7908228801368,31.99,31.99,0.0
FINI,Dr.Good Vitamina C Kids com 60 Unidades - Fini,7908228801337,31.99,31.99,0.0
EMS,Neosaldina Muscular com 20 Comprimidos - Hypera,7896094930735,12.75,14.82,2.0700000000000003
EMS,Nosaldina Muscular com 30 Comprimidos - Hypera,7896094930742,18.73,21.78,3.0500000000000007
PHARLAB,Tadalafila 20mg com 4 Comprimidos - Pharlab,7898216365555,7.99,31.69,23.700000000000003
SIGMA PHARMA OTC,Neutrofer Colina DHA com 60 Comprimidos - Ems,7894916518239,125.9,125.9,0.0
SIGMA PHARMA OTC,Neutrofer Colina Dha com 120 Comprimidos - Ems,7894916518246,199.49,199.49,0.0
VITAFOR,Ômega 3 EPA DHA Vitafort com 120 Cápsulas - Vitafor,7898919865185,148.99,148.99,0.0
SIGMA PHARMA RX,Vognus 10mg com 60 Comprimidos - Sigma Pharma,7894916516396,204.91,242.41,37.5
SIGMA PHARMA RX,Vognus 5mg com 30 Comprimidos - Sigma Pharma,7894916516358,74.17,91.96,17.789999999999992
SIGMA PHARMA RX,Vognus 10mg com 30 Comprimidos - Sigma Pharma,7894916516389,125.21,151.52,26.310000000000016
TEUTO GENERICO,Cloridato de Pioglitazona 30mg com 30 Comprimidos - Teuto Genérico,7896112199373,59.93,79.52,19.589999999999996
PEQUENIN,"Atensina 0,100mg com 30 Comprimidos - Mawdsleys",7898968453098,9.02,10.49,1.4700000000000006
MOMENTA,Lisdev 70mg com 30 Cápsulas - Momenta,7891317032425,298.99,354.19,55.19999999999999
MOMENTA,Lisdev 50mg com 30 Cápsulas - Momenta,7891317032418,298.27,354.19,55.920000000000016
MOMENTA,Lisdv 30mg com 30 Cápsulas - Momenta,7891317032401,246.92,265.85,18.930000000000035
ABBOTT NUTRICIONAL,Suplemento Alimentar Pediasure Baunilha - 850g,7891158106569,143.9,143.9,0.0
MAXINUTRI,Condrigen Curc com 60 Cápsulas - MaxiNutri,7898593052697,64.04,64.04,0.0
MARJAN,Colaten Artro com 30 Comprimidos - Marjan,7896226110141,192.49,192.49,0.0
MEGALABS,Beserol com 30 Comprimidos - Megalabs,7896026171359,41.8,46.44,4.640000000000001
ELSEVE,Wegovy 1mg + 4 Agulhas NovoFine,7897705203095,1098.86,1292.78,193.92000000000007
ELSEVE,Saxenda 6mg/ml com 3 Carpules com 3ml - Nordisk,7897705202340,894.63,1052.51,157.88
TAKEDA,Noripurum Injeção EV com 5 Ampolas - Takeda,7898581710615,89.84,94.57,4.72999999999999
ELSEVE,"Wegovy 1,7mg + 4 Agulhas NovoFine",7897705203101,1645.99,1936.46,290.47
ELSEVE,"Wegovy 2,4mg + 4 Agulhas NovoFine - Novo Nordisk",7897705203118,2117.08,2490.68,373.5999999999999
ELI LILLY,Basaglar KW 100ui 5 Carpules com 3ml + Sistema de Aplicação - Eli Lilly,7896382708183,264.35,300.07,35.71999999999997
ELSEVE,Victoza 6mg Solução Injetável com 2 Carpules 3ml - Nordisk,7897705201770,635.88,701.63,65.75
BIOMM,Insulina Glargilin 100u/ml Solução Injetável 3ml Geladeira - Biomm,7898616360082,51.87,58.95,7.080000000000005
ELSEVE,"Wegovy 0,25 + 4 Agulhas - NovoFine",7897705203071,1098.86,1292.78,193.92000000000007
LILLY,Insulina Humulin N 100ui/ml com 2 Carpules 3ml - Lilly,7896382703317,54.99,92.26,37.27
ELSEVE,Insulina Fiasp Flextouch 100ui 3ml com 1 Sistema de Aplicação - Nordisk,7897705202425,55.11,64.84,9.730000000000004
SANOFI RX,Ins Lantus 100ui 3ml Refil - Sanofi RX,7891058025137,94.75,110.35,15.599999999999994
ELSEVE,"Ozempic 0,25/0,5mg com 6 Agulhas 4mm Novofine - Nordisk",7897705202548,1098.86,1292.78,193.92000000000007
EXELTIS,Exelring Anel Vaginal,7908134200620,67.91,87.09,19.180000000000007
LILLY,Insulina Humalog Injeçao 100ui 10ml - Lilly,7896382700750,147.65,169.03,21.379999999999995
ELSEVE,"Wegovy 0,5 + 4 Agulhas NovoFine",7897705203088,1098.86,1292.78,193.92000000000007
ELI LILLY,Basaglar 100ui Soluçãi Injetável 5 Carpules 3ml Refil - Eli Lilly,7896382707681,261.25,296.87,35.620000000000005
ELSEVE,"Xultophy 3,6mg com Sistema de Aplicação - Nordisk",7897705202364,272.69,320.81,48.120000000000005
ELSEVE,Novorapid Flexpen com 1 Sistema de Aplicação 3ml - Novo Nordisk,7897705201831,57.08,64.84,7.760000000000005
SANOFI RX,Ins Lantus Solostar 100ui 3ml - Sanofi RX,7891058003029,104.7,121.89,17.189999999999998
ELSEVE,Insulina Tresiba 100u/ml Injetável com 5 Carpules x 3ml - Nordisk,7897705203484,943.43,1053.14,109.71000000000015
SANOFI RX,Apidra Solostar 3ml - Sanofi RX,7891058002985,41.53,47.36,5.829999999999998
SANOFI RX,Ins Lantus 100ui 10m - Sanofi RX,7891058009205,294.99,342.39,47.39999999999998
ELSEVE,Insulina Fiasp 100ui Solução Injetável 10ml - Nordisk,7897705202395,190.48,216.23,25.75
SANOFI RX,"Soliqua 100u/ml + 0,05mg/ml com 3ml - Sanofi RX",7891058020958,205.77,242.08,36.31
LILLY,Insulina Humalog Refil 2x 3ml - Lilly,7896382703331,116.69,135.01,18.319999999999993
SANOFI RX,"Toujeo 300ui/1,5ml com 1 Caneta Solostar - Sanofi RX",7891058020323,254.71,293.46,38.74999999999997
LILLY,Humalog Kwikpen Caneta 1 Refil com 3ml - Lilly,7896382706431,53.67,61.92,8.25
GERMED GENERICO,Rosuvastatina Cálcica 10mg com 30 comprimidos - Germed Genérico,7896004729657,11.9,99.09,87.19
TORRENT GENERICO,Rosuvastatina Calcica 10mg com 30 Comprimidos - Torrent Genérico,8902220109544,7.83,59.8,51.97
UNIAO QUIMICA,Vodol Aerosol - 120ml,7896006205913,49.07,51.65,2.5799999999999983
UNIAO QUIMICA,Vodol em Pó - 30g,7896006296003,34.3,36.11,1.8100000000000023
UNIAO QUIMICA,Vodol Creme - 28g,7896006298526,31.57,33.23,1.6599999999999966
GERMED GENERICO,Nitazoxanida 500mg com 6 Comprimidos - Germed Genérico,7896004774466,27.97,48.94,20.97
NEO QUIMICA GENERICO,Nitazoxanida 500mg com 6 Comprimidos - Neo Química Genérico,7896714273426,26.73,59.15,32.42
EUROFARMA GENERICO,Nitazoxanida 500mg com 6 Comprimidos - Eurofarma Genérico,7891317016265,25.24,55.45,30.210000000000004
ALTHAIA,Vitamina D3 Althaia 10000UI - 30 Cápsulas,7898569765149,34.06,142.92,108.85999999999999
ARTE NATIVA,Pro-Enterin 2BI com 10 Flaconetes 10ml - Arte Nativa,7898277715542,31.13,46.42,15.290000000000003
EMS GENERICO,Fluconazol 150mg com 2 Cápsulas - EMS Genérico,7896004703343,12.99,22.48,9.49
EUROFARMA GENERICO,Etodolaco 500mg 14 comprimidos - Eurofarma Genérico,7891317029852,17.58,28.45,10.870000000000001
PHARLAB,Ibuprofeno 600mg com 10 Cápsulas - Pharlab,7898216365470,11.16,25.63,14.469999999999999
CIFARMA SIMILAR,Nimesulida 100mg com 12 Comprimidos Dispersiveis - Cifarma,7908020500483,14.99,32.27,17.28
CIFARMA SIMILAR,Nointox Carvão Vegetal Ativado 250mg 20 Comprimidos - Cifarma,7908020501510,29.99,32.42,2.4300000000000033
PHARLAB,Omeprazol 20mg com 28 Cápsulas - Pharlab,7898216367207,4.88,21.07,16.19
PHARLAB,Omeprazol 20mg com 56 Cápsulas - Pharlab,7898216367245,8.76,40.16,31.4
HERTZ P-1,Kit Solução Para Lentes Ultrasept Sensitive 360ml + 120ml - Hertz,7898902180820,39.9,49.0,9.100000000000001
BAUSCH  LOMB,Kit Renu Advanced 355ml + 120ml + Estojo,7896046383015,54.26,66.9,12.640000000000008
BAUSCH  LOMB,Boston Solução Simplus - 120ml,310119052440,72.06,110.9,38.84
VITAMEDIC,Kit Limp Lent Solução Estéril para Lentes de Contato - 350 + 120ml,7898049795017,39.9,39.9,0.0
BAUSCH  LOMB,Renu Plus Gotas - 8ml,310119052136,22.22,30.99,8.77
ALCON,Opti Free Puremoist Solução Multipropósito 300ml + 120ml,300651361070,82.51,95.49,12.97999999999999
ALCON,Opti-Free Replenish Solução 300ml + 120ml + Estojo Para Lentes,300650356459,99.9,99.9,0.0
TEUTO SIMILAR,Bio Soak Solução Para Lente De Contato - 360ml,7896112165538,41.9,50.0,8.100000000000001
MERCK RX,Euthyrox 112mcg com 50 Comprimidos - Merck,7891721014987,47.09,55.4,8.309999999999995
MERCK RX,Euthyrox 88mcg com 50 Comprimidos - Merck,7891721014963,36.97,43.49,6.520000000000003
MERCK RX,Euthyrox 100 mcg com 50 Comprimidos - Merck,7891721014239,41.79,49.17,7.380000000000003
MERCK RX,Euthyrox 50 mcg com 50 Comprimidos - Merck,7891721014697,36.58,43.03,6.450000000000003
MERCK RX,Euthyrox 150mg com 50 Comprimidos - Merck,7891721014130,50.12,58.96,8.840000000000003
MERCK RX,Euthyrox 125 mcg com 50 Comprimidos - Merck,7891721014086,46.71,54.95,8.240000000000002
MERCK RX,Euthyrox 25 mcg com 50 Comprimidos - Merck,7891721014642,31.96,37.6,5.640000000000001
MERCK RX,Euthyrox 137mcg com 50 Comprimidos - Merck,7891721015007,49.7,58.47,8.769999999999996
MERCK RX,Euthyrox 175mcg com 50 Comprimidos - Merck,7891721014185,56.36,66.3,9.939999999999998
MERCK RX,Euthyrox 200mcg com 50 Comprimidos - Merck,7891721014796,62.02,72.97,10.949999999999996
MERCK RX,Euthyrox 75 mcg com 50 Comprimidos - Merck,7891721014741,40.43,47.56,7.130000000000003
ZAMBON,Fisiogen Ferro Forte com 30 Cápsulas - Zambon,7898074613010,128.48,135.99,7.510000000000019
ZAMBON,Spidufen 770mg com 10 Comprimidos - Zambon,7898074610453,32.3,35.89,3.5900000000000034
ZAMBON,Spidufen Damasco 400mg/770mg com 6 Envelopes de 3g - Zambon,7898074610354,21.21,23.57,2.3599999999999994
ZAMBON,Spidufen 770mg com 3 Comprimidos - Zambon,7898074611344,12.36,12.36,0.0
ZAMBON,Monuril Granulado Uso Oral com 1 Envelope - Zambon,7898074614178,59.47,69.15,9.680000000000007
ZAMBON,Fluimucil D 600mg com 16 Envelopes - Zambon,7898074617322,72.63,80.7,8.070000000000007
ZAMBON,Seki Xarope - 120ml,7898074618183,26.6,29.55,2.9499999999999993
ZAMBON,Fisiogen Ferro com 30 Cápsulas - Zambon,7898074618091,100.48,110.9,10.420000000000002
ZAMBON,Ursacol 50mg com 30 Comprimidos - Zambon,7898074614857,54.04,65.43,11.390000000000008
ZAMBON,Fluimucil 600mg com 16 Comprimidos Efervescentes - Zambon,7898074617612,69.0,72.63,3.6299999999999955
ZAMBON,Monuril Granulado de Uso Oral com 2 Envelopes 8g - Zambon,7898074615212,116.36,135.3,18.940000000000012
ZAMBON,Fluimucil 200mg com 16 Comprimidos Efervescentes - Zambon,7898074613430,51.36,57.07,5.710000000000001
ZAMBON,Spidufen Sabor Damasco 770mg com 20 Envelopes - Zambon,7898074615755,61.42,68.24,6.819999999999993
ZAMBON,Spidufen Sabor Menta com 10 Envelopes - Zambon,7898074610880,47.43,52.7,5.270000000000003
ZAMBON,Ursacol 300mg com 30 Comprimidos - Zambon,7898074618442,258.38,320.32,61.94
ZAMBON,Dividol 70mg com 12 Cápsulas - Zambon,7898074616042,44.47,53.73,9.259999999999998
ZAMBON,Ursacol 150mg com 30 Comprimidos - Zambon,7898074618435,133.3,162.05,28.75
ZAMBON,Dividol 70mg com 36 Cápsulas - Zambon,7898074618657,133.75,156.75,23.0
ZAMBON,Spidufen Sabor Damasco 770mg com 10 Envelopes - Zambon,7898074617780,31.76,35.29,3.5299999999999976
ZAMBON,Spidufen Sabor Damasco com 10 Envelopes - Zambon,7898074617803,47.43,52.7,5.270000000000003
HERBARIUM,Colicaliv Gotas - 30ml,7896083412082,84.64,99.9,15.260000000000005
HERBARIUM,Petamig 50mg com 30 Comprimidos - Herbarium,7896083412198,110.9,110.9,0.0
HERBARIUM,Kaloba 825mg/ml 20ml - Herbarium,7896641804380,85.44,99.35,13.909999999999997
HERBARIUM,Cannabis Sativa 43mg/ml 30ml - Herbarium,7896083412358,534.68,629.52,94.84000000000003
HERBARIUM,Imunocran - 30 Cápsulas,7896083412174,88.97,110.9,21.930000000000007
HERBARIUM,Gamaline V com 30 Cápsulas - Herbarium,7896083402557,150.75,175.29,24.539999999999992
HERBARIUM,Isoflavine 150mg com 30 Comprimidos - Herbarium,7896083400928,119.94,139.47,19.53
HERBARIUM,Imunoflan Zero Acúcar com 200ml - Herbarium,7896083411764,159.38,185.32,25.939999999999998
HERBARIUM,Gamaline V com 15 Cápsulas - Herbarium,7896083400607,93.54,108.77,15.22999999999999
HERBARIUM,Omater Gest com 30 Cápsulas - Herbarium,7896083411610,106.93,121.9,14.969999999999999
HERBARIUM,Traumeel com 50 Comprimidos - Herbarium,7898908753141,81.77,92.99,11.219999999999999
HERBARIUM,Simpli D 2.000ui - 20ml,7896083411801,47.53,47.53,0.0
HERBARIUM,Guaco Xarope - 120ml,7896083404070,29.95,54.49,24.540000000000003
HERBARIUM,Guaco Edulito Herbarium Xarope - 120ml,7896083404094,38.4,57.9,19.5
HERBARIUM,Kaloba Gotas 50ml - Herbarium,7896641804397,133.98,155.79,21.810000000000002
HERBARIUM,Ômega Mater 300+120mg - 30 Cápsulas,7896083410699,101.18,110.9,9.719999999999999
HERBARIUM,Kaloba 20mg com 21 Comprimidos - Herbarium,7896641808227,98.85,114.94,16.090000000000003
HERBARIUM,Cran-B Cr - 30 Comprimidos,7896083412556,97.31,110.9,13.590000000000003
HERBARIUM,Vertigoheel - 50 comprimidos,7898908753097,77.03,86.9,9.870000000000005
HERBARIUM,Androsten Uno com 15 Comprimidos - Herbarium,7896083410323,176.64,205.4,28.76000000000002
HERBARIUM,Androsten 94mg com 30 Comprimidos - Herbarium,7896083410248,123.85,144.01,20.159999999999997
HERBARIUM,Clifemin com 30 Comprimidos - Herbarium,7896083402540,122.31,142.22,19.909999999999997
HERBARIUM,Zeel - 50 comprimidos,7898908753134,62.87,71.99,9.119999999999997
HERBARIUM,Laclev 9000fcc - 30 comprimidos,7896083411375,54.2,60.9,6.699999999999996
HERBARIUM,Neurexan com 50 Comprimidos - Herbarium,7898908753301,69.71,77.9,8.190000000000012
HERBARIUM,Traumeel Pomada com 50g - Herbarium,7898908753172,86.9,86.9,0.0
HERBARIUM,Cran-B Cr - 30 sachês,7896083410958,165.41,198.99,33.58000000000001
HERBARIUM,Imunoflan Xarope 120ml - Herbarium,7896083402625,111.31,129.43,18.120000000000005
HERBARIUM,Prostatal 160mg com 30 Cápsulas - Herbarium,7896083410415,132.25,155.67,23.419999999999987
HERBARIUM,Cognitus 225mg com 60 Comprimidos - Herbarium,7896083410552,129.83,144.25,14.419999999999987
MARJAN,Vitergan Zinco PL D - 70 Comprimidos,7896226110486,209.9,209.9,0.0
GERMED GENERICO,Rosuvastatina Cálcica 20mg com 30 Comprimidos - Germed Genérico,7896004728865,14.99,173.58,158.59
SANDOZ GENERICO,Rosuvastatina Cálcica 20mg com 30 Comprimidos - Sandoz Genérico,7897595620637,15.18,72.23,57.050000000000004
MEDLEY GENERICOS,Rosuvastatina Cálcica 20mg com 30 Comprimidos - Medley Genérico,7896422528627,19.85,82.92,63.07
MOMENTA,Sympta 30mg - 30 cápsulas,7891317039554,58.26,70.5,12.240000000000002
MOMENTA,Sympta 60mg - 30 cápsulas,7891317039585,116.22,140.41,24.189999999999998
CELLERA,Cloridrato de Nortriptilina 25mg com 30 Comprimidos - Cellera Genérico,7893454714684,49.41,49.41,0.0
BIOLAB GENERICO,Gabapentina 300mg com 30 Cápsulas - Biolab Genérico,7898146820582,28.47,86.78,58.31
PRATI DONADUZZI GENERICO,Gabapentina 300mg com 30 Cápsulas - PratiDonaduzzi Genérico,7899547514315,33.69,67.07,33.379999999999995
CIFARMA,Natazy Pré 200ui + Colina 30 Comprimidos,7908020507420,62.99,62.99,0.0
